id,artifact,stage,construction_analog,basis,required_links,reviewer_hint
GOV-001,Project Charter,Preconstruction Governance,Owner project brief and construction charter,"RUP inception, ISO agreement/project planning","Stakeholders, objectives, scope, constraints","Product Expert, Governance Auditor, Delivery Manager"
GOV-002,Standards Tailoring Matrix,Preconstruction Governance,Building code and permit applicability matrix,"ISO 12207, ISO 15289, company process","Standards clauses, included/excluded artifacts, rationale","Governance Auditor, Quality Lead, Human Owner"
GOV-003,RASCI Matrix,Preconstruction Governance,General contractor / architect / engineer responsibility matrix,Human-agent accountability,"Roles, stages, approval authority","Governance Auditor, Delivery Manager, Human Owner"
GOV-004,Risk Register,Preconstruction Governance,"Site risk, safety, and contingency register","ISO risk management, CMMI","Requirements, decisions, tests, owners","Delivery Manager, Security Engineer, System Architect"
GOV-005,Change Management Plan,Preconstruction Governance,Change order and variation control plan,Agile/RUP/CMMI,"Change requests, sprints, releases, approvals","Change Manager, Governance Auditor, Product Owner"
GOV-006,Quality Management Plan,Preconstruction Governance,Quality inspection and acceptance plan,"ISO 12207, CMMI","Rubrics, thresholds, evidence types","Quality Lead, Governance Auditor, Test Lead"
GOV-007,AI Governance Plan,Preconstruction Governance,Automated equipment / smart-building governance plan,ISO 42001,"Agent roles, model use, review gates, monitoring","AI Governance Auditor, Security Engineer, Human Owner"
GOV-008,DFMS Control Graph,Preconstruction Governance,Master construction sequence and inspection gate plan,"Attractor/Fabro-inspired workflow-as-code, ISO planning","Lifecycle nodes, gates, child skills, human decisions, evidence outputs","Governance Auditor, Delivery Manager, Quality Lead"
GOV-009,Work Ledger Schema,Preconstruction Governance,Site work ledger and daily log schema,"Gas Town-inspired durable work state, CMMI measurement","Requirements, artifacts, tasks, risks, decisions, owners, status","Delivery Manager, Traceability Lead, Maintainer"
GOV-010,Attractor Run Record,Preconstruction Governance,Preconstruction feasibility and routing record,StrongDM Attractor-inspired governed entry,"Requirement field, routing, stable state, waivers, next safe action","System Theorist, Governance Architect, Verification Critic"
GOV-011,Methodology Blend Record,Preconstruction Governance,Integrated delivery method plan,RUP/MDA/DDD/TDD/SRE compiler,"Included methods, graph nodes, ledger items, gates, evidence","Methodology Architect, Governance Auditor, Quality Lead"
REQ-001,Business Requirements Document,Programming and Requirements,Owner requirements and building program,"ISO information item, RUP business modeling","Stakeholders, capabilities, business outcomes","Product Expert, Domain Expert, Requirements Lead"
REQ-002,Software Requirements Specification,Programming and Requirements,Detailed room/function/performance specification,"ISO 12207/15289, IEEE-style SRS practice","Functional/NFR requirements, tests, design","Requirements Lead, Test Lead, Governance Auditor"
REQ-003,Non-Functional Requirements Catalog,Programming and Requirements,"Performance criteria schedule: load, fire, acoustic, HVAC, safety","ISO quality, SRE, security","SLIs/SLOs, threat model, tests, operations","SRE Lead, Security Engineer, System Architect"
REQ-004,Acceptance Criteria and Scenarios,Programming and Requirements,Acceptance walk-through scenarios and punch-list criteria,"BDD/TDD, dark factory validation","Requirements, tests, holdouts, user journeys","Product Expert, QA Lead, Domain Expert"
REQ-005,Glossary and Ubiquitous Language,Programming and Requirements,Project glossary and drawing legend,DDD,"Domain terms, bounded contexts, APIs","Domain Expert, DDD Critic, Requirements Lead"
REQ-006,Assumption and Constraint Log,Programming and Requirements,"Assumption, constraint, and site condition log",Professional SDLC handoff,"Decisions, risks, open questions","Requirements Lead, Delivery Manager, Human Owner"
REQ-007,Interrogation Record,Programming and Requirements,Owner/stakeholder interview and signoff record,Customer discovery and validation,"Rounds, answer IDs, contradiction scoring, approval mechanics","Requirements Lead, Product Owner, Governance Auditor"
REQ-008,Spec Decomposition Record,Programming and Requirements,Work breakdown / room-by-room decomposition record,"ISO/IEC/IEEE 29148, RUP use-case decomposition, Agile story slicing, DDD domain decomposition","Requirement tree, branch interviews, completeness scores, leaf acceptance criteria, trace links, re-interrogation triggers","Requirements Decomposition Lead, Product Owner, Verification Lead"
ARC-001,High-Level Design,Design Development and Engineering,Architectural design development package,"RUP, ISO design, architecture practice","Requirements, NFRs, ADRs, risks","System Architect, SRE Lead, Security Engineer"
ARC-002,Low-Level Design,Design Development and Engineering,Detailed construction drawings and shop drawing basis,ISO implementation planning,"Components, APIs, data model, tests","System Architect, Implementation Lead, Test Lead"
ARC-003,Architecture Decision Records,Design Development and Engineering,Design decision log and engineering rationale,"ADR practice, ISO rationale records","Alternatives, chosen design, consequences","System Architect, DDD Critic, Governance Auditor"
ARC-004,Interface/API Specification,Design Development and Engineering,Interface specification between trades and systems,"ISO, OpenAPI/gRPC/etc. as applicable","Requirements, consumers, tests","System Architect, Test Lead, Security Engineer"
ARC-005,Data Model and Migration Plan,Design Development and Engineering,Site utility/data model and phased migration plan,DDD/data architecture,"Entities, stores, privacy, migrations","Data Architect, Security Engineer, SRE Lead"
ARC-006,Threat Model,Design Development and Engineering,"Life-safety, security, and hazard analysis","SSDF, OWASP SAMM","Assets, abuse cases, mitigations, tests","Security Engineer, System Architect, Test Lead"
ARC-007,Observability Design,Design Development and Engineering,"Building monitoring, alarms, and observability plan",SRE,"SLIs, logs, metrics, traces, alerts","SRE Lead, System Architect, Test Lead"
MDA-001,Computation-Independent Model,Model and Blueprint Transformation,Conceptual massing and owner-use model,OMG MDA,"Business process, domain goals, glossary","MDA Architect, Domain Expert, Product Expert"
MDA-002,Platform-Independent Model,Model and Blueprint Transformation,Technology-neutral engineering model,OMG MDA,"CIM elements, domain model, interfaces","MDA Architect, System Architect, DDD Critic"
MDA-003,Platform-Specific Model,Model and Blueprint Transformation,Construction-ready platform/material model,OMG MDA,"PIM mappings, stack choices, code modules","MDA Architect, Implementation Lead, SRE Lead"
MDA-004,Model Transformation Record,Model and Blueprint Transformation,Concept-to-engineering-to-construction transformation log,OMG MDA,CIM->PIM->PSM mappings and exceptions,"MDA Architect, Governance Auditor, Test Lead"
DDD-001,Bounded Context Map,Domain Blueprint Coordination,Trade boundary and coordination map,DDD,"Glossary, aggregates, services, integrations","DDD Critic, System Architect, Domain Expert"
DDD-002,Aggregate and Invariant Catalog,Domain Blueprint Coordination,Structural/detail invariant and tolerance catalog,DDD/TDD,"Business rules, tests, code","DDD Critic, Test Lead, Implementation Lead"
DDD-003,Anti-Corruption Layer Plan,Domain Blueprint Coordination,Interface isolation plan for external/legacy systems,DDD integration,"External systems, adapters, contracts","DDD Critic, Security Engineer, System Architect"
IMP-001,Implementation Plan,Construction Execution Package,Construction execution plan,"ISO implementation, Agile sprint planning","Requirements, components, tasks","Implementation Lead, Delivery Manager, Test Lead"
IMP-002,Code Change Set,Construction Execution Package,Installed work package / change set,Source control,"Requirements, designs, tests, reviews","Implementation Lead, Test Lead, Security Engineer"
IMP-003,Build and Dependency Manifest,Construction Execution Package,"Materials, suppliers, and build manifest","SSDF, supply chain","SBOM, lockfiles, build logs","Security Engineer, SRE Lead, Implementation Lead"
IMP-004,Configuration and Environment Spec,Construction Execution Package,"Temporary works, site environment, and configuration spec",DevOps/SRE,"Deploy targets, secrets policy, config tests","SRE Lead, Security Engineer, Implementation Lead"
IMP-005,Migration and Backout Plan,Construction Execution Package,"Cutover, migration, and backout plan",Release/SRE,"Data model, deployment, rollback","Data Architect, SRE Lead, Test Lead"
VNV-001,Master Test Strategy,Inspection and Commissioning,Master inspection and commissioning strategy,"ISO verification/validation, TDD/BDD","Requirements, risks, coverage targets","Test Lead, Product Expert, Security Engineer"
VNV-002,Test Cases and Procedures,Inspection and Commissioning,Inspection checklists and test procedures,ISO/IEEE-style test docs,"Requirements, code paths, scenarios","Test Lead, Domain Expert, Implementation Lead"
VNV-003,Automated Test Evidence,Inspection and Commissioning,Inspection/test evidence and signoff package,TDD/CI,"Test cases, code, build results","Test Lead, Implementation Lead, Quality Lead"
